ID_genome_file,eAUCH2O2,eAUC18C,eAUCpH,eAUCSA,eAUCGB,eAUCKCl
ST92ISR_Ar_5a,215.213577597679,220.723607656013,276.194212063893,137.540736632616,228.870193791618,92.0213091662935
ST92ISR_Ar_5g,234.967971336678,388.189599816766,487.931417348058,132.470613891792,346.095800361529,54.8992193288733
Israel_1992_ISZA1c,255.070459057767,463.044406517356,625.234775785832,275.098785419506,582.171883892436,230.499116773746
Israel_1992_ISZB2b,55.136056194244,75.3000882102136,160.675980384771,37.579322764693,164.510912586353,34.000822681877104
Israel_1992_ISZB3a_1,234.375030881448,294.563120881969,283.652774142338,44.2033176628735,246.779965967315,65.8820498967394
Israel_1992_ISZC1a,30.1859801257197,26.7965300246783,208.735689251791,22.5442888093724,114.878285745477,32.9638626258567
Israel_1992_ISZC2a_2,109.583490047839,290.842607563073,334.883272908025,54.9932343093025,184.871356993929,63.2059064585432
Israel_1992_ISZD1d_1,285.412568455281,544.776980136389,636.820384137862,181.063254290782,676.978004771184,56.9679077216102
Israel_1992_ISZE1b_2,170.909304866204,252.24948678336,381.506066541541,97.1392859555343,383.828434686304,137.398644557051
Israel_1992_ISZF2a_1,26.5458675361035,156.243745576976,119.863631491088,9.61474667649791,59.1632531793081,22.5477538421742
Israel_1992_ISZH2a,264.508465980847,465.94296391879,670.610144583798,81.4301582542982,451.6001745647,48.4480646292247
Missouri_1994_ST94MO12a_1,400.818398161551,373.234868328036,788.418331954808,272.77460434515,601.56191361684,99.242345173092
Missouri_1994_ST94MO13a_1,221.644251966227,233.92411860648,295.08162718949,60.615753916671,176.585150578895,57.9177167984519
Missouri_1994_ST94MO15a_1,99.1994114242603,150.200879666535,148.310165370117,58.7554485838971,139.792789844722,33.7984354179741
Missouri_1994_ST94MO16a_1,78.9760099654265,83.6513615357627,149.800699965694,76.4866999579742,140.602556804432,56.5349099482073
Missouri_1994_ST94MO17a_1,494.862304542058,532.903259213395,385.652191279029,425.419666432803,462.628266169443,129.462921650235
Missouri_1994_ST94MO19a_1,98.4667346763213,124.260929599101,219.190494735075,65.2031863177112,264.283545191897,35.395087013024
Missouri_1994_ST94MO23a_1,327.155487372428,310.136293046795,471.615916675805,223.743669811157,606.036464792194,167.248277208218
Missouri_1994_ST94MO24a_1,76.6840930266681,77.0023959340581,87.7608862452864,32.9348455094071,80.9052963052802,50.010142660296
Missouri_1994_ST94MO29a_1,440.68632353077,653.093194742124,507.061524798206,227.224028920524,538.472976945318,235.563095502435
Missouri_1994_ST94MO2a_1,109.545344915173,244.876387198489,257.764125127563,96.4067046390602,253.268417233089,93.4246938482898
Missouri_1994_ST94MO33a_1,105.37251564379,170.676014443147,208.837403593093,118.694798275087,200.040124624882,35.1086447928049
Missouri_1994_ST94MO35a_1,206.633574312047,380.994524443729,590.063603829924,183.350523229393,599.094032680272,72.3341103540625
Missouri_1994_ST94MO7a_1,160.06274966693,190.204070017437,432.701528690019,172.58079996727,331.748080032495,65.0363892387257
Missouri_1994_ST94MO8a_1,342.595839500598,452.32859470132,594.691682728916,83.2085891288679,506.400657249428,61.4113228518975
Missouri_1994_ST94Mo31a_1,121.021472226567,148.120256773336,234.706719501202,104.213964254378,188.083435812737,65.7300710235774
ST90ORE_a12_3B_11,125.547936956849,178.211364787803,260.214864963213,91.0930043034906,162.141108750687,19.1265259577779
ST90ORE_a12_3B_15,215.212515635787,289.09334619952,375.916793285434,135.500732149982,289.439521523219,67.9164078223385
ST90ORE_a12_3B_17,191.577180447747,209.561396096847,380.315370239461,154.578182213039,381.54708058023,45.3971938799849
ST90ORE_a12_3B_18,24.0997330341073,48.2117028281002,100.896975642681,8.28531343509015,55.2294861276823,14.3956745590777
ST90ORE_a12_3B_19,317.600196213501,540.208022958868,882.549396798321,319.540723081239,523.714105488998,62.6338103346998
ST90ORE_a12_3B_2,219.849764665838,256.570829224318,468.13561916534,149.809230903702,463.668379917766,76.3956265237407
ST90ORE_a12_3B_21,244.394124983164,268.808966669811,352.675978234404,160.993327965936,274.236707958415,58.9796067778519
ST90ORE_a12_3B_3,403.996006594643,489.854723172862,650.378399790299,148.390719084552,612.747922326604,192.20672095397
ST90ORE_a12_3B_4,307.782500266373,526.639794426857,586.756307972129,154.384102382647,464.337694759321,93.9694252119301
ST90ORE_a12_3B_5,207.05319875295,589.665315581516,496.433659810031,249.721586830623,630.593759710861,256.432736942064
ST90ORE_a12_3B_6,309.402715711704,387.774028382335,419.378088234591,144.378560950654,398.798431251026,92.1901123904715
ST90ORE_a12_3B_7,210.517550566336,238.886067585912,442.725869066456,170.086022341716,292.475274882368,96.8693681230432
ST90ORE_a12_3B_8,349.76060850792,646.745015660329,764.511135389166,250.497664879029,562.929732569037,112.396798767214
ST90ORE_a12_3B_9,485.556350693309,656.897463085096,833.179852464892,178.960947930569,708.571524794399,145.92453579655
ST90ORE_a12_4A_1,353.852740103529,340.210824455702,471.986185964661,236.183259033485,403.011650854332,179.101789728822
ST90ORE_a12_4A_10,338.848234054894,368.433828623517,810.652487696633,NA,508.55021720813,239.619937407604
ST90ORE_a12_4A_11,144.283037059093,256.126510901759,362.849201016157,80.1533117118318,283.859081374991,74.3847262613085
ST90ORE_a12_4A_2,308.57605963496,397.801992803141,535.685984609177,93.7441890912834,391.492357805836,75.4150596324205
ST90ORE_a12_4A_4,420.843142480127,469.474513521738,835.89459232432,282.564954203868,699.498228422041,230.409116572181
ST90ORE_a12_4A_5,526.756006083176,755.073667031098,794.62225164108,484.616154644158,784.961515694019,272.265180183547
ST90ORE_a12_4A_6,191.025227972973,295.470787237329,327.309709495158,219.673516974419,335.785109022035,151.708526881661
