ID_genome_file,Max_grey0C_08dpi,Max_grey0C_12dpi,Max_grey0C_15dpi,Max_grey0C_19dpi,Max_grey18C_08dpi,Max_grey18C_12dpi,Max_grey18C_15dpi,Max_grey18C_19dpi,Max_grey30C_08dpi,Max_grey30C_12dpi,Max_grey30C_15dpi,Max_grey30C_19dpi
ST90ORE_a15_2A_13,176.416666666667,179.166666666667,175.166666666667,164,175.362962962963,178.311111111111,161.381481481481,138.755555555556,174.892857142857,173.348290598291,139.791005291005,147
ST90ORE_a15_2A_16,189.277777777778,176.575396825397,156.460317460317,152.777777777778,188.923913043478,160.448241816663,145.921539961014,157.861404390816,196,183,188.5,153.25
ST90ORE_a15_2A_20,166.5,177,162,163.5,NA,175,136,157,NA,NA,NA,NA
ST90ORE_a15_2A_6,167.242424242424,160.371212121212,172.669696969697,158.690909090909,168.491666666667,161.958333333333,174.930555555556,153.2,168.114285714286,180.805555555556,193.677777777778,156.013888888889
ST90ORE_a15_2A_8,170.996098104794,139.199494949495,141.575757575758,145.212121212121,174.274074074074,145.766666666667,142.258537758538,147.931216931217,173.52714586979,134.395572263993,145.769841269841,146.380952380952
ST90ORE_a15_3B_1,166.968253968254,NA,147.638888888889,148.083333333333,167.966666666667,NA,153.166666666667,164.916666666667,NA,NA,NA,NA
ST90ORE_a15_3B_19,177.947222222222,162.477380952381,190.65873015873,156.391534391534,171.25462962963,176.453703703704,168.945286195286,172.958754208754,174.984848484848,170.282051282051,165.858974358974,164.265151515152
ST90ORE_a15_3B_4,179.403133903134,157.26430976431,158.033333333333,172.18253968254,183.632832080201,152.312231628021,151.478917378917,154.535185185185,179.451851851852,174.87037037037,155.362037037037,155.233333333333
ST90ORE_a15_3B_5,177.022222222222,181.444444444444,184.619444444444,169.011111111111,174.9,179.6,188.233333333333,172.822222222222,173.455555555556,178.396296296296,179.259259259259,159.087037037037
ST90ORE_a15_3B_6,199.980952380952,197.533333333333,197.77380952381,198.47095959596,195.247222222222,186.267857142857,192,188.948051948052,200.31221719457,188.743162393162,197.688888888889,197.566666666667
ST90ORE_a15_3B_9,189.111111111111,172.69696969697,166.787878787879,180.70303030303,186.986645299145,174.63048245614,159.601608187135,161.453703703704,184.282673478076,175.650405643739,163.710408357075,170.394280973991
ST90ORE_a15_4A_10,165.833333333333,NA,169,155.285714285714,165.539108187135,NA,160.152847152847,168.085858585859,158.725356125356,NA,168.407051282051,170.929894179894
ST90ORE_a15_4A_11,179.275901875902,192.94246031746,195.818452380952,184.378306878307,176.587301587302,187.079365079365,201.103174603175,187.376068376068,175.382478632479,185.517156862745,193.045343137255,174.907096171802
ST90ORE_a15_4A_13,192.777777777778,193.1,173.922222222222,171.055555555556,189.241830065359,184.707673453997,172.956043956044,155.834554334554,193,183,168,172
ST90ORE_a15_4A_15,175.786764705882,151.186967716379,156.247264309764,154.05,172.746031746032,150.25,159.013888888889,154.541666666667,201,157,160,174
ST90ORE_a15_4A_17,156.666666666667,170.666666666667,163.25,152.25,169.472222222222,176.43253968254,163.884920634921,161.900793650794,164.777777777778,170.740740740741,179.268518518519,166.209595959596
ST90ORE_a15_4A_19,179.6,183.166666666667,169,170.083333333333,178.007407407407,176.483660130719,159.652777777778,160.388095238095,187.830687830688,194.515873015873,167.153439153439,162.574074074074
ST90ORE_a15_4A_2,166.18137254902,143.255698005698,141.821256038647,144.843181818182,168.502645502645,147.292203548086,145.780598555212,147.052631578947,164.349376114082,143.1325,139.695555555556,155.598290598291
ST90ORE_a15_4A_3,202.25,185.333333333333,178.25,186.166666666667,183.314194577352,170.850954813598,162.412109575013,161.56350308642,179.583333333333,174.522222222222,167.865079365079,171.333333333333
ST90ORE_a15_4A_4,160.066666666667,143.2,164.933333333333,163.833333333333,162.833333333333,143.958333333333,163.066666666667,149.65,154.75,154.916666666667,156.583333333333,157.25
ST90ORE_a15_4A_7,179.407407407407,183.214285714286,157.77037037037,152.637037037037,181.666666666667,178.677777777778,156.208333333333,185.628571428571,177.569444444444,181.078571428571,156.007692307692,156.388888888889
ST99CH_SW5,153.166666666667,NA,166.977777777778,179.777777777778,155.611111111111,NA,166.166666666667,180.833333333333,159,NA,174,175
ST99CH_SW39,182.555555555556,168.333333333333,157.111111111111,152.166666666667,170,151.5,155.75,191,NA,NA,NA,NA
ST99CH_3A10,173,169,143.666666666667,155,173.877777777778,141.225925925926,151.65873015873,156.555555555556,179.237566137566,138.214285714286,150.396645021645,188.417989417989
ST99CH_3A2,171.007792207792,192.469696969697,194.277777777778,181.777777777778,170.285714285714,184.928571428571,186.060217560218,176.023172905526,174.465277777778,163.142857142857,165.7,163.111111111111
ST99CH_3A5,177.138888888889,180.083333333333,174.527777777778,171.611111111111,177.08912037037,182.679275820536,148.785714285714,149.662051282051,NA,NA,NA,NA
ST99CH_3A6,171.714285714286,151.708994708995,158.746031746032,171.383928571429,180.775883838384,155.292929292929,164.290909090909,169.783068783069,177.27694235589,150.75,152.288571994454,166.436078431373
ST99CH_3A8,189.1,188.516666666667,161.466666666667,167.318518518519,194.75,180.375,137.875,161.125,196.6,182,162.488888888889,164.555555555556
ST99CH_3A9,171.066666666667,168.847985347985,154.620085470085,149.446053946054,168.365079365079,170.650997150997,155.766025641026,147.306435394671,172.541666666667,173.666666666667,178.244444444444,146.322222222222
ST99CH_3B2,160.375,148.125,156.375,150.125,160.289141414141,153.309343434343,151.028571428571,169.497354497355,NA,NA,NA,NA
ST99CH_3B4,180.722222222222,167.888888888889,159.6,172.733333333333,173.033189033189,181.569444444444,164.806818181818,171.206349206349,172.669841269841,177.712250712251,158.10582010582,158.230769230769
ST99CH_3B8,189.748717948718,188.269696969697,166.105555555556,172.842592592593,188.194444444444,181.008333333333,177.622222222222,167.5,181.607142857143,198.011994949495,174.888034188034,163.534343434343
ST99CH_3C4,157.866883116883,173.75,150.910714285714,144.847402597403,154.726984126984,163.593434343434,151.974025974026,150.517482517483,159.270833333333,175.908333333333,172.316666666667,167.688888888889
ST99CH_3C7,163.25,172.883333333333,164.9,148.455555555556,166.911111111111,183.755555555556,174.133333333333,160.527777777778,NA,NA,NA,NA
ST99CH_3D1,183.361111111111,181.933333333333,164.583333333333,141.166666666667,178.45034965035,193.84965034965,150.367132867133,153.045454545455,207.601388888889,178.328618421053,149.625416104363,146.90980980981
ST99CH_3D3,177.664814814815,196.406060606061,179.018181818182,184.6,180.152777777778,168.984126984127,178.186507936508,160.834656084656,174.166666666667,168.444444444444,185.466666666667,162.511111111111
ST99CH_3D5,177.847319347319,158.488651699178,164.794601889339,169.648148148148,180.893055555556,168.445475979959,169.565754985755,156.583688547883,179.043452380952,153.549603174603,154.635185185185,155.926242690058
ST99CH_3D7,158,176.571428571429,189,189.333333333333,157.233333333333,162.977380952381,180.685714285714,191.475,161.916666666667,174.166666666667,183.041666666667,175.375
ST99CH_3D8,173.80303030303,156.267195767196,154.688095238095,170.684343434343,164.521212121212,156.068181818182,176.059259259259,178.337301587302,164.906565656566,156.277777777778,164.729095465938,173.074592074592
ST99CH_3F1,172.491666666667,175.845238095238,176.264285714286,149.385714285714,166.385714285714,166.690476190476,146.680952380952,135.629100529101,163.147953216374,159.478947368421,162.046732026144,155.25
ST99CH_3F2,156.977777777778,NA,148.744444444444,148.05,165.880952380952,NA,169.416666666667,164.75,156.530555555556,NA,157.05,154.233333333333
ST99CH_3F3,170.733333333333,169.974603174603,177.057142857143,170.922222222222,174.125641025641,164.012108262108,178.761904761905,175.916666666667,172.966666666667,171.833333333333,184.416666666667,175.472222222222
ST99CH_3F4,175.116282642089,157.663133640553,148.131615696132,160.162211981567,170.803703703704,158.006493506494,153.771561771562,144.121212121212,171.3,166.75,152.314285714286,141.744444444444
ST99CH_3F5,181.333333333333,180.583333333333,181.694444444444,164.416666666667,176.484848484848,164.713173400673,153.492632204397,154.670214752568,172,184,166.5,175
ST99CH_3G2,148.016666666667,149.293650793651,151.789682539683,160.285714285714,151.55,141.166666666667,157.5,162,182,156,177,146
ST99CH_3G3,182.75,189,194.277777777778,166,180.722222222222,180.422222222222,198.633333333333,186.788888888889,180.138047138047,185.326599326599,187.755555555556,168.851851851852
ST99CH_3G6,195.018849206349,183.63081232493,174.080112044818,153.985119047619,192.321428571429,178.727777777778,167.580555555556,159.375,191.734126984127,183.2,170.097435897436,168.561538461538
ST99CH_3H1,173.880555555556,157.099696969697,139.941590909091,149.071428571429,169.594086021505,155.169892473118,132.174478974435,138.323763955343,170.034479409479,150.816746031746,135.734682539683,138.454126984127
ST99CH_3H3,169.365079365079,183.763888888889,169.25,167.194444444444,168.875816993464,176.871794871795,155.002249212776,158.962962962963,164.982905982906,177.709401709402,158.639316239316,159.211111111111
ST99CH_3H4,170.536507936508,178.422222222222,171.288888888889,185.533333333333,158.253333333333,165.376984126984,170.553002070393,189.882441145599,160.519047619048,171.930735930736,163.528205128205,175.258547008547
