ID_genome_file,Mean_grey0C_08dpi,Mean_grey0C_12dpi,Mean_grey0C_15dpi,Mean_grey0C_19dpi,Mean_grey18C_08dpi,Mean_grey18C_12dpi,Mean_grey18C_15dpi,Mean_grey18C_19dpi,Mean_grey30C_08dpi,Mean_grey30C_12dpi,Mean_grey30C_15dpi,Mean_grey30C_19dpi
ST90ORE_a12_3B_5,152.869305555556,140.265977777778,109.9857,87.5929444444444,155.192438888889,131.71805,98.6010972222222,77.2983371212121,153.697429292929,125.676521212121,93.1791454545454,77.4696090909091
ST90ORE_a12_3B_6,154.403463095238,150.894095238095,133.873327380952,99.7037123015873,155.130311111111,152.272558333333,135.290658333333,90.8038666666667,153.893801316331,148.587244755245,120.429136030636,84.4839742063492
ST90ORE_a12_3B_7,148.244005050505,NA,110.696981481481,112.607851851852,146.234726851852,NA,105.551708333333,103.316817460317,146.663,NA,102.159277777778,100.827611111111
ST90ORE_a12_3B_8,154.903098412698,123.709707142857,106.955518518519,79.5955416666667,154.843815099715,112.882938095238,95.1358541310541,93.8270686813187,153.846394298246,107.226001949318,94.1094931917211,87.7517111111111
ST90ORE_a12_3B_9,157.685181746032,80.7194365079365,81.5236219336219,80.7175173160173,157.500358333333,83.4274647435898,77.7763397435897,81.9459444444444,NA,NA,NA,NA
ST90ORE_a12_4A_1,153.277549911817,83.1981435897436,71.2217336996337,72.5380951505017,153.633151614669,86.5240703338807,74.8266560199163,74.2182095238095,156.265832026144,92.5013786764706,76.5849925925926,78.1864777777778
ST90ORE_a12_4A_10,152.999407407407,130.505875,118.740194444444,92.7836638888889,152.811341321714,120.798262278583,98.3950644444444,76.9963571428571,153.254848484848,127.881952564103,114.70557928475,96.9394797979798
ST90ORE_a12_4A_11,154.107242592593,117.625742307692,82.0056080586081,64.4823240740741,151.026397186147,112.497718434343,88.8167368115942,79.0215774410774,150.387047785548,111.560266381766,80.9425754985755,69.3184312468577
ST90ORE_a12_4A_2,147.933981060606,95.6120952380952,90.2122380952381,84.1439238095238,146.765171428571,92.1053555555555,84.7574222222222,82.96725,143.785969551282,93.29869664903,93.7044355555555,91.3824217406261
ST90ORE_a12_4A_4,156.695410841751,118.828848207475,90.0469758993443,75.4915119047619,159.781006410256,128.369377777778,103.211233333333,84.93355,158.942099603175,118.21177756734,87.3434811447812,82.6105793650794
ST90ORE_a12_4A_5,153.330886039886,118.455333074333,104.381135716136,87.7218484848485,150.876664862915,115.71423015873,96.4136560846561,83.9782611584107,149.791345238095,111.757133790358,92.9760995614035,78.4213050832209
ST90ORE_a12_4A_6,149.026388888889,118.118655555556,104.296105555556,95.6320666666667,148.814255555556,105.717831481481,95.3389083333333,89.0350119047619,151.059888888889,109.848190883191,89.9908877492878,82.0682777777778
ST90ORE_a12_4A_7,157.793503571429,120.961967063492,108.446728174603,106.487677248677,158.852183333333,126.17101952862,115.887879124579,109.940840740741,157.910145454545,121.758136363636,111.250436363636,106.53553030303
ST90ORE_a15_2A_11,139.6545,85.5415,73.336,77.0058333333333,132.103085526316,85.2055324074074,77.5952581699346,76.2391,125.54719047619,82.0837301587302,76.8780079365079,73.8053412698413
ST90ORE_a15_2A_13,151.752416666667,107.63525,82.2046666666667,72.0933333333333,151.218637037037,103.120555555556,78.1895481481481,68.0751333333333,151.236967857143,98.6886303418803,73.9365,71.6653290598291
ST90ORE_a15_2A_16,153.990333333333,130.019972222222,101.017095238095,81.1037777777778,155.53935942029,116.922029087871,91.7925096491228,76.8754876822524,156.5215,137.7915,117.8205,91.2365
ST90ORE_a15_2A_20,155.4725,129.086,106.4825,92.7935,NA,130.317,87.628,76.826,NA,NA,NA,NA
ST90ORE_a15_2A_6,154.435839393939,103.177765151515,97.634296969697,98.7867333333333,158.314725,108.242791666667,105.666375,82.4263083333333,153.930511111111,105.937291666667,99.2325555555556,79.7026944444444
ST90ORE_a15_2A_8,155.336890189521,82.6940328282828,71.5075151515152,77.7704090909091,155.463877777778,86.0639703703704,70.0116151996152,83.624537037037,156.443700587787,84.96823893066,73.982958994709,85.6729047619048
ST90ORE_a15_3B_1,147.659349206349,NA,91.8021388888889,95.3330833333333,146.445933333333,NA,97.9756666666667,98.252,NA,NA,NA,NA
ST90ORE_a15_3B_19,155.628705555556,95.799175,90.958955026455,82.6700185185185,150.549546296296,97.9157314814815,106.688239057239,104.739535774411,151.43326010101,95.5171111111111,99.833452991453,94.4401186868687
ST90ORE_a15_3B_4,147.052888888889,107.829297979798,93.4152925925926,84.1040978835979,154.094752072489,116.997087351245,98.5752572649573,95.6818407407407,148.880385185185,120.590697222222,104.116853703704,89.6209481481481
ST90ORE_a15_3B_5,156.5131,151.507592592593,145.700086111111,119.505547222222,154.644033333333,149.095366666667,145.203433333333,121.853459259259,154.284077777778,149.978097222222,141.126325,111.351471296296
ST90ORE_a15_3B_6,155.428082539683,155.53994047619,147.59693452381,136.785654040404,153.670497222222,151.04705952381,145.638857142857,136.17782034632,156.206471593766,152.88734465812,145.894944444444,134.883792592593
ST90ORE_a15_3B_9,152.688577777778,131.929434343434,108.960045454545,97.2709212121212,154.610708511396,133.766260233918,107.325193347953,92.0083287037037,155.257140074804,134.688756455026,104.206981709402,91.2454212657981
ST90ORE_a15_4A_10,142.710138888889,NA,121.153944444444,100.249761904762,136.302841008772,NA,110.081703296703,97.8475606060606,140.984453561254,NA,115.842416666667,97.4874457671958
ST90ORE_a15_4A_11,157.897524675325,147.622429563492,137.221224206349,113.732246031746,156.773626984127,149.932484126984,146.06896031746,122.877235042735,157.172371794872,150.423359068627,146.317074754902,117.603589480237
ST90ORE_a15_4A_13,160.343222222222,154.660361111111,116.254977777778,94.6815277777778,161.093344771242,141.939665441176,109.163468177656,86.361057997558,160.545,149.872,99.696,81.068
ST90ORE_a15_4A_15,157.686901143791,98.9777593582888,88.3917506313131,87.4711,157.303206349206,101.209847222222,89.5084444444444,88.4137916666667,165.211,106.126,104.857,83.244
ST90ORE_a15_4A_17,143.691666666667,91.731,83.741,70.25525,135.700255555556,101.430793650794,96.5586071428571,91.633630952381,132.703416666667,103.325074074074,95.3537314814815,90.1230656565657
ST90ORE_a15_4A_19,153.779933333333,146.6571,104.606416666667,107.52575,154.100425925926,141.731754901961,101.186541666667,107.050118452381,154.930764550265,149.126462962963,106.461687830688,105.53112962963
ST90ORE_a15_4A_2,155.287674019608,100.812272079772,93.7413532608696,83.4429765151515,155.68785978836,97.6488020074697,89.8240907120743,84.3454958228906,154.399314319667,99.2324468055556,91.1554244444444,83.5703044871795
ST90ORE_a15_4A_3,159.18675,151.4995,132.613388888889,124.776166666667,155.350313397129,136.482598461351,111.572908550947,99.9506388117284,156.920416666667,142.484444444444,109.236,98.78
ST90ORE_a15_4A_4,137.331133333333,100.2071,101.898733333333,84.1589166666667,129.107333333333,87.6244416666667,84.92575,72.225625,137.5325,117.370638888889,100.488277777778,90.1478333333333
