ID_genome_file,Std_grey0C_08dpi,Std_grey0C_12dpi,Std_grey0C_15dpi,Std_grey0C_19dpi,Std_grey18C_08dpi,Std_grey18C_12dpi,Std_grey18C_15dpi,Std_grey18C_19dpi,Std_grey30C_08dpi,Std_grey30C_12dpi,Std_grey30C_15dpi,Std_grey30C_19dpi
ST92ISR_Ar_4b,4.5760641025641,NA,20.2361886446886,21.8157564935065,5.13730972222222,NA,25.4864716515369,20.9370863636364,4.64564989177489,NA,22.4512554112554,17.4930642135642
ST92ISR_Ar_4e,3.8728125,4.88472916666667,20.831869047619,19.2939642857143,3.58266666666667,5.50688453159041,22.5298750544662,21.6978604845447,3.48974603174603,5.08266402116402,21.9671261904762,21.6786476190476
ST92ISR_Ar_4f,4.04924963924964,9.83765252525253,20.9023977272727,19.8167279040404,4.90947777777778,11.9725277777778,22.4882181818182,21.8960833333333,4.11405925925926,8.40965416666667,17.9545833333333,21.3371583333333
ST92ISR_Ar_5a,5.59077777777778,6.64355555555556,7.17216666666667,10.0359444444444,5.62233333333333,6.40552962962963,7.63375925925926,13.8497962962963,NA,NA,NA,NA
ST92ISR_Ar_5g,5.29031043771044,17.8311203703704,24.2416388888889,20.9238452380952,6.74989850889851,18.4244538239538,22.480125,21.2481342592593,4.53438782051282,17.0532424242424,22.9231385281385,22.8313531746032
ST90ORE_a12_3B_11,3.8871272986273,13.5438068783069,14.9764333333333,16.034108974359,3.6824126984127,13.3864304029304,13.4948571428571,15.6673992673993,3.31001157407407,14.2352541666667,14.4309708333333,15.8553333333333
ST90ORE_a12_3B_15,7.61020634920635,16.8401407407407,15.4857851851852,19.5359111111111,6.65700793650794,20.3920925213675,16.0438182234432,18.530376984127,5.96551851851852,19.7186964285714,13.1616746031746,14.676119047619
ST90ORE_a12_3B_17,4.3188,9.1836,20.425475,24.9147,4.02846560846561,13.2219333333333,21.7290666666667,23.4208095238095,NA,NA,NA,NA
ST90ORE_a12_3B_18,4.65135119047619,NA,18.440380952381,24.1139523809524,4.467,NA,19.033,27.1805555555556,5.28041666666667,NA,18.5816388888889,25.4602916666667
ST90ORE_a12_3B_19,3.96353968253968,8.77490555555556,18.9465277777778,26.0866388888889,4.55075,9.4725,18.7659,24.1005,NA,NA,NA,NA
ST90ORE_a12_3B_2,3.72863333333333,24.8932619047619,27.2038166666667,10.3172301587302,4.04481666666667,22.6141726190476,22.6887333333333,13.8735407407407,4.07354166666667,22.7754734848485,21.1473611111111,11.3296666666667
ST90ORE_a12_3B_21,4.9911658692185,12.2327433102959,15.246835016835,19.9076402116402,4.59519690656566,9.12118686868687,11.9391127830024,17.1886922398589,4.69997956349206,10.7419597245803,13.0630050205566,18.6721954365079
ST90ORE_a12_3B_3,4.30747985347985,9.01878559218559,16.7147619047619,18.5747246031746,4.9225,10.95425,23.6150833333333,22.5686666666667,3.50366666666667,4.07991666666667,17.629625,25.805125
ST90ORE_a12_3B_4,3.40291074611663,14.2201724386724,17.2312063492063,18.2049356939357,4.3626,13.6603,18.532,19.5341,NA,NA,NA,NA
ST90ORE_a12_3B_5,4.41136111111111,12.6598888888889,30.7613333333333,30.3173333333333,4.45735555555556,18.2568388888889,32.671,24.996571969697,5.06494444444444,20.7887393939394,29.9960606060606,23.2449196969697
ST90ORE_a12_3B_6,5.13789166666667,9.98133068783069,20.1899226190476,19.9058214285714,4.76097354497355,11.3016797619048,20.6699416666667,28.2670083333333,4.96361963526669,12.4966744366744,22.8297600732601,19.9100595238095
ST90ORE_a12_3B_7,3.55327188552189,NA,15.185712962963,15.5766018518519,3.65260648148148,NA,17.4691805555556,17.225373015873,3.04338888888889,NA,18.8312222222222,17.2199444444444
ST90ORE_a12_3B_8,4.50868571428571,19.5028023809524,20.8599074074074,22.4539444444444,4.97259373219373,18.9383023199023,19.3436182336182,25.2567916666667,4.44656359649123,21.9130847953216,20.82674291939,26.3195111111111
